1.546,0.000,0.942,4.345,0.001,1.073,4.746,13.483,0.004,0.838,
0.448,0.234,4.578,0.005,1.919,3.270,7.277,2.586,1.933,0.000,
1.227,0.000,0.134,0.361,7.134,0.001,0.000,0.000,0.000,0.697,
0.697,4.811,0.072,0.097,10.657,0.010,1.165,9.279,3.597,5.432,
6.855,0.232,0.003,0.851,0.000,0.130,0.133,0.003,0.001,2.996,
7.965,1.070,0.030,0.000,1.169,5.202,0.002,0.004,1.993,7.308,
1.455,2.711,0.032,2.422,2.239,2.742,0.036,0.007,0.450,4.761,
0.001,0.349,0.007,0.541,0.355,5.989,6.244,0.000,2.801,0.001,
0.001,0.801,0.098,0.000,0.032,0.000,2.319,0.222,2.578,0.109,
0.694,2.373,3.986,1.255,0.145,1.138,0.064,2.082,0.066,0.000,
0.107,1.486,5.766,4.371,0.002,10.126,0.157,0.000,8.203,0.573,
15.867,0.413,0.067,4.212,0.036,0.000,3.064,2.330,5.611,3.694,
1.048,0.003,0.000,0.974,0.005,0.542,0.069,12.557,0.002,6.668,
9.887,0.008,1.333,1.700,2.744,4.601,0.003,2.842,0.000,0.033,
5.277,0.002,0.729,0.036,0.003,0.143,8.388,0.164,0.992,0.000,
0.099,8.234,10.855,0.001,0.000,0.038,0.172,10.022,0.008,0.881,
0.072,0.325,0.000,0.001,6.936,0.000,0.001,7.686,0.161,0.003,
0.570,0.094,0.003,1.135,0.007,0.388,3.954,0.229,0.574,0.736,
9.567,0.003,0.198,2.870,3.617,2.530,3.602,5.703,0.066,5.234,
5.924,1.768,0.036,1.419,0.000,4.509,6.846,0.601,2.233,5.845,
0.102,0.226,7.615,0.000,1.988,3.090,1.993,0.096,6.898,1.913,
0.009,0.000,4.139,0.254,12.036,15.776,0.104,0.007,0.139,7.566,
3.756,11.315,0.070,0.066,0.000,0.001,6.627,0.000,0.320,0.004,
1.197,4.913,0.127,2.211,11.772,8.902,0.001,0.190,3.521,0.000,
0.002,5.490,3.726,0.005,0.005,0.000,0.005,0.000,0.223,0.000,
0.000,1.071,2.105,3.245,2.980,2.487,8.824,0.003,0.002,6.414,
0.000,0.000,2.178,0.030,0.000,0.001,0.293,9.636,0.134,7.073,
0.570,4.573,1.263,0.005,1.639,14.526,8.692,2.684,4.442,6.123,
0.000,0.638,0.000,9.000,0.033,1.196,1.137,0.001,0.318,0.000,
4.819,0.003,11.494,0.000,1.232,1.455,1.266,0.098,11.012,5.513,
